RecordedDate,RecordedTime,RecordLocation,Radiation,Temperature,Pressure,Humidity,WindDirection,WindSpeed,TimeSunRise,TimeSunSet
9/29/16,23:55:26,Meemm;V:"o'[om{m}_+<ABC>000,1.21,29,30.46,59,177.39,5.62,6:13:00,18:13:00
9/29/16,23:50:23,Brightdog Topicblab Photobean,1.21,48,30.46,58,176.78,3.37,6:13:00,18:13:00
9/29/16,23:45:26,Oba JumpXS Eadel,1.23,48,30.46,57,158.75,3.37,6:13:00,18:13:00
9/29/16,23:40:21,Kimia Roomm,1.21,48,30.46,60,137.71,3.37,6:13:00,18:13:00
9/29/16,23:35:24,Ozu Gabspot,1.17,48,30.46,62,104.95,5.62,6:13:00,18:13:00
9/29/16,23:30:24,Quamba Yoveo,1.21,48,30.46,64,120.2,5.62,6:13:00,18:13:00
9/29/16,23:25:19,Youspan Zooxo Mybuzz,1.2,49,30.46,72,112.45,6.75,6:13:00,18:13:00
9/29/16,23:20:22,Bubblemix Nlounge,1.24,49,30.46,71,122.97,5.62,6:13:00,18:13:00
9/29/16,23:15:22,Browsebug Npath,1.23,49,30.46,80,101.18,4.5,6:13:00,18:13:00
9/29/16,23:10:22,Bubblebox Brainbox,1.21,32,30.46,85,141.87,4.5,6:13:00,18:13:00
9/29/16,23:05:23,Feedmix Rhybox,1.23,49,30.47,93,120.55,2.25,6:13:00,18:13:00
9/29/16,23:00:25,Geba Dabfeed Oyope,1.21,49,30.47,98,144.19,3.37,6:13:00,18:13:00
9/29/16,22:55:20,Ntag Blogtag,1.22,32,30.47,99,139.8,6.75,6:13:00,18:13:00
9/29/16,22:50:19,Gigashots Twinder,1.21,50,30.47,99,140.92,2.25,6:13:00,18:13:00
9/29/16,22:45:31,Katz Zooveo,1.23,50,30.47,99,147.61,5.62,6:13:00,18:13:00
9/29/16,22:40:23,Divanoodle Wordpedia,1.22,50,30.47,99,113.78,4.5,6:13:00,18:13:00
9/29/16,22:35:19,Katz Voonder Gigashots,1.21,50,30.47,99,123.03,10.12,6:13:00,18:13:00
9/29/16,22:30:22,Tagchat Fadeo,1.22,50,30.47,99,173.73,6.75,6:13:00,18:13:00
9/29/16,22:25:19,Twitterworks Rhynyx Quimba,1.22,50,30.47,98,91.43,6.75,6:13:00,18:13:00
9/29/16,22:20:22,Demizz Buzzshare,1.2,50,30.47,98,109.74,6.75,6:13:00,18:13:00
9/29/16,22:15:22,Demimbu Skaboo,1.2,50,30.47,98,143.53,2.25,6:13:00,18:13:00
9/29/16,22:10:21,Trilith Aibox,1.2,50,30.47,97,146.76,5.62,6:13:00,18:13:00
9/29/16,22:05:20,Edgepulse Photofeed,1.21,50,30.47,97,158.35,4.5,6:13:00,18:13:00
9/29/16,22:00:26,Twimm Mudo Jetpulse,1.22,50,30.47,97,166.05,5.62,6:13:00,18:13:00
9/29/16,21:55:20,Oba JumpXS Eadel,1.22,50,30.47,96,151.82,5.62,6:13:00,18:13:00
9/29/16,21:50:32,Digitube Viva,1.22,50,30.47,96,152.52,6.75,6:13:00,18:13:00
9/29/16,21:45:28,Vitz Fatz,1.24,50,30.47,95,127.82,7.87,6:13:00,18:13:00
9/29/16,21:40:20,Twimm Mudo Jetpulse,1.23,50,30.47,95,157.58,6.75,6:13:00,18:13:00
9/29/16,21:35:21,Wikizz Topicstorm,1.23,50,30.47,95,172.96,7.87,6:13:00,18:13:00
9/29/16,21:30:21,Abatz Topicware Vidoo,1.23,50,30.47,95,143.82,6.75,6:13:00,18:13:00
9/29/16,21:25:22,Buzzbean Devpoint,1.24,50,30.47,94,154.03,5.62,6:13:00,18:13:00
9/29/16,21:20:21,Jabberbean Divavu,1.2,50,30.47,93,165.93,4.5,6:13:00,18:13:00
9/29/16,21:15:23,Blogspan Skiba,1.24,50,30.47,93,139.82,7.87,6:13:00,18:13:00
9/29/16,21:10:20,Yakidoo Divanoodle Quaxo,1.21,49,30.47,93,166.07,9,6:13:00,18:13:00
9/29/16,21:05:26,Eabox Avavee,1.24,50,30.47,93,116.16,5.62,6:13:00,18:13:00
9/29/16,21:00:20,Realcube Twitternation,1.2,50,30.47,92,157.48,4.5,6:13:00,18:13:00
9/29/16,20:55:18,Kimia Roomm,1.19,50,30.47,91,112.27,7.87,6:13:00,18:13:00
9/29/16,20:50:20,Tanoodle Kazio,1.25,50,30.47,90,133.69,6.75,6:13:00,18:13:00
9/29/16,20:45:24,Jabbersphere Jabbercube Brainsphere,1.25,50,30.47,88,140.64,6.75,6:13:00,18:13:00
9/29/16,20:40:19,Fanoodle Trupe,1.23,50,30.47,87,52.89,1.12,6:13:00,18:13:00
9/29/16,20:35:19,Centidel Youopia Thoughtmix,1.21,50,30.47,86,132.66,4.5,6:13:00,18:13:00
9/29/16,20:30:18,Zoozzy Zoomdog,1.25,50,30.46,85,138.35,5.62,6:13:00,18:13:00
9/29/16,20:25:20,Rhyloo Cogibox Kamba,1.23,50,30.46,84,109.87,3.37,6:13:00,18:13:00
9/29/16,20:20:23,Leenti Dabshots Roomm,1.23,50,30.47,81,123.25,3.37,6:13:00,18:13:00
9/29/16,20:15:20,Gabcube Lazzy,1.26,50,30.46,75,158.64,4.5,6:13:00,18:13:00
9/29/16,20:10:22,Fadeo Voonix,1.17,50,30.46,70,165.22,5.62,6:13:00,18:13:00
9/29/16,20:05:22,Buzzbean Devbug,1.22,50,30.46,63,160.51,3.37,6:13:00,18:13:00
9/29/16,20:00:18,Skynoodle Thoughtmix Oba,1.22,50,30.46,51,155.36,4.5,6:13:00,18:13:00
9/29/16,19:55:23,Feedbug Babbleblab Youfeed,1.22,50,30.46,47,157.78,6.75,6:13:00,18:13:00
9/29/16,19:50:22,Flipbug Yodo,1.24,50,30.46,46,151.6,3.37,6:13:00,18:13:00
9/29/16,19:45:25,Viva Cogidoo Roomm,1.25,50,30.46,47,105.78,4.5,6:13:00,18:13:00
9/29/16,19:40:22,Jaxworks Wordpedia,1.19,50,30.46,48,135.55,4.5,6:13:00,18:13:00
9/29/16,19:35:22,Browsedrive Dabjam,1.19,50,30.46,56,140.92,4.5,6:13:00,18:13:00
9/29/16,19:30:20,Meemm Einti Ntags,1.23,50,30.46,57,165,4.5,6:13:00,18:13:00
9/29/16,19:25:21,Eidel Eayo,1.19,51,30.46,55,126.63,3.37,6:13:00,18:13:00
9/29/16,19:20:20,Snaptags Avamm,1.23,51,30.46,54,119.97,4.5,6:13:00,18:13:00
9/29/16,19:15:22,Dabtype Topicblab Yodoo,1.22,51,30.45,53,95.57,2.25,6:13:00,18:13:00
9/29/16,19:10:24,Buzzshare Tavu JumpXS,1.24,51,30.45,51,100.02,4.5,6:13:00,18:13:00
9/29/16,19:05:20,Devcast Riffpath,1.24,51,30.45,51,111.73,2.25,6:13:00,18:13:00
9/29/16,19:00:24,Dabshots Topdrive,1.23,51,30.45,52,145.77,5.62,6:13:00,18:13:00
9/29/16,18:55:19,Podcat Vinte Thoughtstorm,1.23,51,30.45,51,105.89,6.75,6:13:00,18:13:00
9/29/16,18:50:24,Tagtune Gabcube,1.24,51,30.45,52,120.86,5.62,6:13:00,18:13:00
9/29/16,18:45:19,Oozz Shufflebeat,1.23,51,30.44,55,170.11,5.62,6:13:00,18:13:00
9/29/16,18:40:21,Wikido Meetz,1.21,52,30.44,55,107.15,5.62,6:13:00,18:13:00
9/29/16,18:35:21,Livetube Agivu Wikizz,1.24,52,30.44,55,129.29,6.75,6:13:00,18:13:00
9/29/16,18:30:23,Dabjam Tagchat Devcast,1.18,52,30.45,59,158.73,3.37,6:13:00,18:13:00
9/29/16,18:25:19,Trilia Oloo Yacero,1.52,52,30.44,59,211.38,2.25,6:13:00,18:13:00
9/29/16,18:20:23,Livetube Shufflebeat Rooxo,5.07,53,30.44,61,174.97,4.5,6:13:00,18:13:00
9/29/16,18:15:21,Livepath Rooxo,6.16,53,30.44,62,120.78,7.87,6:13:00,18:13:00
9/29/16,18:10:52,Tavu Fiveclub,6.63,53,30.44,59,118.82,5.62,6:13:00,18:13:00
9/29/16,18:05:22,Twitterbeat Yamia,10.96,54,30.44,59,154.16,4.5,6:13:00,18:13:00
9/29/16,18:00:22,Bubblebox Divavu,19.42,55,30.44,57,58.42,6.75,6:13:00,18:13:00
9/29/16,17:55:22,Linktype Ainyx Wikizz,27.14,55,30.44,53,47.86,4.5,6:13:00,18:13:00
9/29/16,17:50:19,Meembee Quinu,33.75,56,30.44,52,74.56,2.25,6:13:00,18:13:00
9/29/16,17:45:22,Digitube Viva,49.57,56,30.44,49,25.72,6.75,6:13:00,18:13:00
9/29/16,17:40:22,Buzzbean Feedspan,59.62,56,30.44,50,102.11,2.25,6:13:00,18:13:00
9/29/16,17:35:38,Wordware Buzzbean Miboo,87.23,56,30.44,48,67.49,3.37,6:13:00,18:13:00
9/29/16,17:30:25,Babbleopia Midel Yodo,109.93,56,30.43,49,180.29,2.25,6:13:00,18:13:00
9/29/16,17:25:25,Thoughtstorm 'Buzzshare' Lajo,130.82,57,30.43,57,150.2,2.25,6:13:00,18:13:00
9/29/16,17:20:25,Lajo Dabshots Voolia,160.52,57,30.43,55,47.3,5.62,6:13:00,18:13:00
9/29/16,17:15:20,Pixonyx Meezzy,191.37,58,30.43,52,333.81,1.12,6:13:00,18:13:00
9/29/16,17:10:20,Tavu Fiveclub,207.05,58,30.43,49,41.62,4.5,6:13:00,18:13:00
9/29/16,17:05:22,Devcast Browsecat Gabcube,240.99,58,30.43,45,132.36,5.62,6:13:00,18:13:00
9/29/16,17:00:24,Eabox Edgetag Oloo,274.83,58,30.43,41,332.09,4.5,6:13:00,18:13:00
9/29/16,16:55:25,Tagtune Npath Thoughtworks,300.94,58,30.43,55,45.88,3.37,6:13:00,18:13:00
9/29/16,16:50:22,Twitterworks Eimbee,322.71,58,30.43,56,94.24,7.87,6:13:00,18:13:00
9/29/16,16:45:38,Bluejam DabZ,346.59,58,30.43,50,81.57,6.75,6:13:00,18:13:00
9/29/16,16:40:20,Thoughtstorm Cogibox,364.18,58,30.43,49,351.03,7.87,6:13:00,18:13:00
9/29/16,16:35:41,Yamia Babbleblab,368.35,58,30.43,51,78.81,5.62,6:13:00,18:13:00
9/29/16,16:30:22,Tambee Dabjam Innotype,362.84,58,30.43,46,85.96,5.62,6:13:00,18:13:00
9/29/16,16:25:21,Aimbo Feedspan,423.9,59,30.43,48,19.78,4.5,6:13:00,18:13:00
9/29/16,16:20:25,Camido Topiclounge,457.69,58,30.43,59,18.26,4.5,6:13:00,18:13:00
9/29/16,16:15:23,Wordpedia Twitternation,511.38,58,30.43,52,69.08,3.37,6:13:00,18:13:00
9/29/16,16:10:22,Thoughtstorm 'Buzzshare' Lajo,566.83,58,30.43,52,40.87,4.5,6:13:00,18:13:00
9/29/16,16:05:20,Wikivu Tambee,187.96,58,30.43,49,0.13,4.5,6:13:00,18:13:00
9/29/16,16:00:20,Mynte Skibox Wordtune,310.59,59,30.43,58,27.34,9,6:13:00,18:13:00
9/29/16,15:55:22,Mudo Livefish,230.26,59,30.43,46,359.93,3.37,6:13:00,18:13:00
9/29/16,15:50:21,Vipe Leexo,623.31,60,30.43,46,22.18,7.87,6:13:00,18:13:00
9/29/16,15:45:22,"Meejo ""Youspan"" Edgewire",312.1,60,30.43,48,4.38,10.12,6:13:00,18:13:00
9/29/16,15:40:24,"Wikibox ""Blogpad"" Fanoodle",803.72,60,30.43,44,355.03,7.87,6:13:00,18:13:00
9/29/16,15:35:19,Centidel Youopia Thoughtmix,671.97,60,30.42,47,0.4,7.87,6:13:00,18:13:00
9/29/16,15:30:20,Leenti Livepath,670.32,60,30.42,51,53.16,4.5,6:13:00,18:13:00
9/29/16,15:25:21,Omba Browsebug Shuffledrive,679.73,60,30.42,48,353.87,9,6:13:00,18:13:00
9/29/16,15:20:24,Kwimbee Devpoint Agimba,687.62,60,30.43,54,2.04,4.5,6:13:00,18:13:00
9/29/16,15:15:18,Zooveo Vimbo Eimbee,697.66,61,30.42,53,34.85,11.25,6:13:00,18:13:00
9/29/16,15:10:21,Flipstorm Quimm,716.27,61,30.42,44,11.08,7.87,6:13:00,18:13:00
9/29/16,15:05:23,Yombu Livetube,744.43,61,30.43,50,1.6,5.62,6:13:00,18:13:00
9/29/16,15:02:10,Twitterbridge Photolist Twiyo,612.34,61,30.42,53,345.21,7.87,6:13:00,18:13:00
9/29/16,14:55:21,Quire Omba,760.9,61,30.42,50,165.42,4.5,6:13:00,18:13:00
9/29/16,14:50:21,Avavee Quamba Feedspan,773.71,61,30.42,57,30.3,6.75,6:13:00,18:13:00
9/29/16,14:45:18,Flashspan Skippad,790.08,61,30.42,59,34.24,3.37,6:13:00,18:13:00
9/29/16,14:40:23,Dabtype Skimia Youspan,804.28,61,30.42,59,19.11,7.87,6:13:00,18:13:00
9/29/16,14:35:24,Mynte Roodel Flipopia,818.82,61,30.42,53,84.61,6.75,6:13:00,18:13:00
9/29/16,14:30:19,Demivee Chatterbridge,855.63,62,30.42,51,31.88,5.62,6:13:00,18:13:00
9/29/16,14:25:20,Twitternation Browsedrive,875.16,62,30.42,58,149.48,3.37,6:13:00,18:13:00
9/29/16,14:20:21,Thoughtbeat Gigashots,867.9,62,30.42,54,62.54,3.37,6:13:00,18:13:00
9/29/16,14:15:27,Livetube Agivu Wikizz,872.67,62,30.43,58,39.59,5.62,6:13:00,18:13:00
9/29/16,14:10:20,Flashspan Agivu Edgewire,890.52,62,30.43,50,122.13,4.5,6:13:00,18:13:00
9/29/16,14:00:19,Brainverse Mybuzz Babbleset,911.06,62,30.43,53,65.07,7.87,6:13:00,18:13:00
9/29/16,13:55:20,Twimm Quatz Youopia,925.16,62,30.43,49,69.79,7.87,6:13:00,18:13:00
9/29/16,13:50:20,Talane InnoZ,933.15,62,30.43,47,346.87,5.62,6:13:00,18:13:00
9/29/16,13:45:21,Mynte Brainlounge,942.73,62,30.43,53,359.93,5.62,6:13:00,18:13:00
9/29/16,13:40:21,Twitterbeat Yamia,955.74,62,30.43,50,9.92,4.5,6:13:00,18:13:00
9/29/16,13:35:21,Photofeed Zoomzone Eamia,959.47,62,30.43,54,19.98,9,6:13:00,18:13:00
9/29/16,13:30:20,Flipstorm Quimm,970.22,62,30.43,57,0.9,6.75,6:13:00,18:13:00
9/29/16,13:25:18,Trudoo Yoveo Rhycero,974.87,62,30.43,54,19.13,11.25,6:13:00,18:13:00
9/29/16,13:20:20,Wikizz Zoonoodle Voolia,985.22,62,30.44,53,61.93,7.87,6:13:00,18:13:00
9/29/16,13:15:25,Twitterlist Jabbersphere,992.19,62,30.43,50,63.35,10.12,6:13:00,18:13:00
9/29/16,13:10:22,Quinu Einti Bluezoom,997.26,62,30.44,56,171.18,7.87,6:13:00,18:13:00
9/29/16,13:05:22,Voonix Jabberstorm,1004.6,62,30.44,54,45.65,7.87,6:13:00,18:13:00
9/29/16,13:00:19,Meemm Voomm,1007.96,63,30.44,54,15.92,11.25,6:13:00,18:13:00
9/29/16,12:55:22,Skipstorm Mycat,1013.59,63,30.44,54,130.14,9,6:13:00,18:13:00
9/29/16,12:50:20,Thoughtblab Browsetype Twinder,1020.55,62,30.44,51,21.54,10.12,6:13:00,18:13:00
9/29/16,12:45:19,Livepath Rooxo,1025.63,62,30.44,45,70.89,15.75,6:13:00,18:13:00
9/29/16,12:40:20,Feedmix Livepath,1029.41,63,30.45,46,59.62,12.37,6:13:00,18:13:00
9/29/16,12:35:20,Brightdog Topicblab Photobean,1034.46,63,30.45,43,79.08,7.87,6:13:00,18:13:00
9/29/16,12:30:19,Jayo Rhycero,1033.54,63,30.45,43,359.46,5.62,6:13:00,18:13:00
9/29/16,12:25:21,Yakijo Mybuzz Midel,1039.06,63,30.45,40,59.89,4.5,6:13:00,18:13:00
9/29/16,12:20:20,Realcube Twitternation,1039.67,63,30.45,39,40.66,6.75,6:13:00,18:13:00
9/29/16,12:15:20,Divape Twitterworks,1037.76,64,30.46,41,20.44,14.62,6:13:00,18:13:00
9/29/16,12:10:24,Livepath Jayo Youtags,1039.52,64,30.45,41,40.4,13.5,6:13:00,18:13:00
9/29/16,12:05:20,Cogibox Trilith Skajo,1040.14,63,30.45,41,117.62,4.5,6:13:00,18:13:00
9/29/16,12:00:27,Blognation Ailane,1039.22,63,30.46,42,354.78,1.12,6:13:00,18:13:00
9/29/16,11:55:20,Gabtype Aimbo Oyondu,1035.99,63,30.46,41,35.68,4.5,6:13:00,18:13:00
9/29/16,11:50:20,Dabjam Tagchat Devcast,1033.49,63,30.46,39,350,5.62,6:13:00,18:13:00
9/29/16,11:45:18,Kamba Zoombeat Brainsphere,1029.15,63,30.46,41,14.63,9,6:13:00,18:13:00
9/29/16,11:40:20,Twitternation Browsedrive,1025.51,63,30.46,41,349.53,2.25,6:13:00,18:13:00
9/29/16,11:35:19,LiveZ Tekfly,1023.78,63,30.46,41,31.9,9,6:13:00,18:13:00
9/29/16,11:30:22,Quire Aivee,1017.57,63,30.47,37,339.83,3.37,6:13:00,18:13:00
9/29/16,11:25:20,Talane InnoZ,1013.93,63,30.47,34,67.14,11.25,6:13:00,18:13:00
9/29/16,11:20:21,Flipstorm Quimm,1009.36,63,30.47,34,61.67,9,6:13:00,18:13:00
9/29/16,11:15:22,Innotype Voomm,1002.89,63,30.47,33,32.74,6.75,6:13:00,18:13:00
9/29/16,11:11:56,Tambee Dabjam Innotype,999.19,63,30.47,31,4.51,6.75,6:13:00,18:13:00
9/29/16,11:05:22,Yakitri Quinu Mynte,987.02,62,30.47,36,38.9,10.12,6:13:00,18:13:00
9/29/16,11:00:23,Zooveo Vimbo Eimbee,981.66,63,30.47,40,28.85,7.87,6:13:00,18:13:00
9/29/16,10:55:21,Wikivu Tambee,973.79,63,30.47,35,114.97,5.62,6:13:00,18:13:00
9/29/16,10:50:22,Fatz Yoveo Eimbee,964.46,63,30.47,37,60.94,6.75,6:13:00,18:13:00
9/29/16,10:45:20,Meevee Wordify,957.02,62,30.47,40,37.85,7.87,6:13:00,18:13:00
9/29/16,10:40:22,Brainbox Mudo Centimia,946.32,62,30.47,44,38.03,11.25,6:13:00,18:13:00
9/29/16,10:35:22,Realbridge Feedbug,933.08,62,30.47,45,37.37,11.25,6:13:00,18:13:00
9/29/16,10:30:21,Zazio Ailane Youfeed,926.79,62,30.47,43,10.44,5.62,6:13:00,18:13:00
9/29/16,10:25:19,Thoughtstorm Dabvine,915.84,62,30.47,42,5.51,11.25,6:13:00,18:13:00
9/29/16,10:20:19,Skipstorm Snaptags,901.65,62,30.47,42,24.74,9,6:13:00,18:13:00
9/29/16,10:15:23,Reallinks Skyba,899.53,61,30.47,46,37.67,7.87,6:13:00,18:13:00
9/29/16,10:10:20,Tanoodle Zazio Wordpedia,878.76,62,30.47,49,61.93,7.87,6:13:00,18:13:00
9/29/16,10:05:23,Twimm Quatz Youopia,867.98,61,30.47,44,359.93,6.75,6:13:00,18:13:00
9/29/16,10:00:25,Kwimbee Shuffledrive,855.89,62,30.47,41,26.99,7.87,6:13:00,18:13:00
9/29/16,9:55:21,Blogtag Trilith,841.52,61,30.47,42,21.37,9,6:13:00,18:13:00
9/29/16,9:50:22,Fivechat Eadel,830.19,62,30.47,38,52.73,10.12,6:13:00,18:13:00
9/29/16,9:45:19,Janyx Twimm Fivebridge,815.1,62,30.47,39,61.67,6.75,6:13:00,18:13:00
9/29/16,9:40:20,Fadeo Aivee,799.29,62,30.47,41,42.59,5.62,6:13:00,18:13:00
9/29/16,9:35:25,Babbleopia Midel Yodo,785.6,61,30.47,41,37.83,7.87,6:13:00,18:13:00
9/29/16,9:30:21,Realcube Twimm,768.39,61,30.47,45,7.14,7.87,6:13:00,18:13:00
9/29/16,9:25:19,Skipstorm Snaptags,754.06,61,30.47,44,186.9,4.5,6:13:00,18:13:00
9/29/16,9:20:22,Thoughtblab Browsetype Twinder,738.75,61,30.47,43,7.25,7.87,6:13:00,18:13:00
9/29/16,9:15:23,Fivechat Eadel,722.23,61,30.46,44,33.19,11.25,6:13:00,18:13:00
9/29/16,9:10:23,Skyble Trilith,706.41,61,30.46,44,56.91,6.75,6:13:00,18:13:00
9/29/16,9:05:21,Gabcube Lazzy,686.3,61,30.46,45,70.29,3.37,6:13:00,18:13:00
9/29/16,9:00:26,Voonyx Fivespan Kaymbo,669.11,60,30.46,49,16.18,9,6:13:00,18:13:00
9/29/16,8:55:21,Wikido Jaxnation,652.51,61,30.46,47,52.76,2.25,6:13:00,18:13:00
9/29/16,8:50:23,Yakijo Devbug,634.99,61,30.46,41,14.96,6.75,6:13:00,18:13:00
9/29/16,8:45:27,Quinu Oodoo,617.87,61,30.46,31,19.08,7.87,6:13:00,18:13:00
9/29/16,8:40:21,Abatz Topicware Vidoo,597.41,61,30.46,34,0.1,2.25,6:13:00,18:13:00
9/29/16,8:35:22,Quinu Yamia Shufflebeat,578.24,61,30.46,31,24.56,4.5,6:13:00,18:13:00
9/29/16,8:30:21,Realpoint Oyoloo,559.23,60,30.46,35,41.61,1.12,6:13:00,18:13:00
9/29/16,8:25:21,Dablist Mynte Buzzbean,538.41,60,30.46,37,31.05,3.37,6:13:00,18:13:00
9/29/16,8:20:23,Wikido Jaxnation,519.16,60,30.46,41,25.35,4.5,6:13:00,18:13:00
9/29/16,8:15:21,Npath Skivee Agimba,499.21,60,30.45,40,3.77,3.37,6:13:00,18:13:00
