RecordedDate,RecordedTime,RecordLocation,Radiation,Temperature,Pressure,Humidity,WindDirection,WindSpeed,TimeSunRise,TimeSunSet
9/29/16,23:55:26,meemmvoommabc000,1.21,-1.67,30.46,59,177.39,5.62,1475165580,18:13:00
9/29/16,23:50:23,brightdog-topicblab-photobean,1.21,8.89,30.46,58,176.78,3.37,1475165580,18:13:00
9/29/16,23:45:26,oba-jumpxs-eadel,1.23,8.89,30.46,57,158.75,3.37,1475165580,18:13:00
9/29/16,23:40:21,kimia-roomm,1.21,8.89,30.46,60,137.71,3.37,1475165580,18:13:00
9/29/16,23:35:24,ozu-gabspot,1.17,8.89,30.46,62,104.95,5.62,1475165580,18:13:00
9/29/16,23:30:24,quamba-yoveo,1.21,8.89,30.46,64,120.2,5.62,1475165580,18:13:00
9/29/16,23:25:19,youspan-zooxo-mybuzz,1.2,9.44,30.46,72,112.45,6.75,1475165580,18:13:00
9/29/16,23:20:22,bubblemix-nlounge,1.24,9.44,30.46,71,122.97,5.62,1475165580,18:13:00
9/29/16,23:15:22,browsebug-npath,1.23,9.44,30.46,80,101.18,4.5,1475165580,18:13:00
9/29/16,23:10:22,bubblebox-brainbox,1.21,0.00,30.46,85,141.87,4.5,1475165580,18:13:00
9/29/16,23:05:23,feedmix-rhybox,1.23,9.44,30.47,93,120.55,2.25,1475165580,18:13:00
9/29/16,23:00:25,geba-dabfeed-oyope,1.21,9.44,30.47,98,144.19,3.37,1475165580,18:13:00
9/29/16,22:55:20,ntag-blogtag,1.22,0.00,30.47,99,139.8,6.75,1475165580,18:13:00
9/29/16,22:50:19,gigashots-twinder,1.21,10.00,30.47,99,140.92,2.25,1475165580,18:13:00
9/29/16,22:45:31,katz-zooveo,1.23,10.00,30.47,99,147.61,5.62,1475165580,18:13:00
9/29/16,22:40:23,divanoodle-wordpedia,1.22,10.00,30.47,99,113.78,4.5,1475165580,18:13:00
9/29/16,22:35:19,katz-voonder-gigashots,1.21,10.00,30.47,99,123.03,10.12,1475165580,18:13:00
9/29/16,22:30:22,tagchat-fadeo,1.22,10.00,30.47,99,173.73,6.75,1475165580,18:13:00
9/29/16,22:25:19,twitterworks-rhynyx-quimba,1.22,10.00,30.47,98,91.43,6.75,1475165580,18:13:00
9/29/16,22:20:22,demizz-buzzshare,1.2,10.00,30.47,98,109.74,6.75,1475165580,18:13:00
9/29/16,22:15:22,demimbu-skaboo,1.2,10.00,30.47,98,143.53,2.25,1475165580,18:13:00
9/29/16,22:10:21,trilith-aibox,1.2,10.00,30.47,97,146.76,5.62,1475165580,18:13:00
9/29/16,22:05:20,edgepulse-photofeed,1.21,10.00,30.47,97,158.35,4.5,1475165580,18:13:00
9/29/16,22:00:26,twimm-mudo-jetpulse,1.22,10.00,30.47,97,166.05,5.62,1475165580,18:13:00
9/29/16,21:55:20,oba-jumpxs-eadel,1.22,10.00,30.47,96,151.82,5.62,1475165580,18:13:00
9/29/16,21:50:32,digitube-viva,1.22,10.00,30.47,96,152.52,6.75,1475165580,18:13:00
9/29/16,21:45:28,vitz-fatz,1.24,10.00,30.47,95,127.82,7.87,1475165580,18:13:00
9/29/16,21:40:20,twimm-mudo-jetpulse,1.23,10.00,30.47,95,157.58,6.75,1475165580,18:13:00
9/29/16,21:35:21,wikizz-topicstorm,1.23,10.00,30.47,95,172.96,7.87,1475165580,18:13:00
9/29/16,21:30:21,abatz-topicware-vidoo,1.23,10.00,30.47,95,143.82,6.75,1475165580,18:13:00
9/29/16,21:25:22,buzzbean-devpoint,1.24,10.00,30.47,94,154.03,5.62,1475165580,18:13:00
9/29/16,21:20:21,jabberbean-divavu,1.2,10.00,30.47,93,165.93,4.5,1475165580,18:13:00
9/29/16,21:15:23,blogspan-skiba,1.24,10.00,30.47,93,139.82,7.87,1475165580,18:13:00
9/29/16,21:10:20,yakidoo-divanoodle-quaxo,1.21,9.44,30.47,93,166.07,9,1475165580,18:13:00
9/29/16,21:05:26,eabox-avavee,1.24,10.00,30.47,93,116.16,5.62,1475165580,18:13:00
9/29/16,21:00:20,realcube-twitternation,1.2,10.00,30.47,92,157.48,4.5,1475165580,18:13:00
9/29/16,20:55:18,kimia-roomm,1.19,10.00,30.47,91,112.27,7.87,1475165580,18:13:00
9/29/16,20:50:20,tanoodle-kazio,1.25,10.00,30.47,90,133.69,6.75,1475165580,18:13:00
9/29/16,20:45:24,jabbersphere-jabbercube-brainsphere,1.25,10.00,30.47,88,140.64,6.75,1475165580,18:13:00
9/29/16,20:40:19,fanoodle-trupe,1.23,10.00,30.47,87,52.89,1.12,1475165580,18:13:00
9/29/16,20:35:19,centidel-youopia-thoughtmix,1.21,10.00,30.47,86,132.66,4.5,1475165580,18:13:00
9/29/16,20:30:18,zoozzy-zoomdog,1.25,10.00,30.46,85,138.35,5.62,1475165580,18:13:00
9/29/16,20:25:20,rhyloo-cogibox-kamba,1.23,10.00,30.46,84,109.87,3.37,1475165580,18:13:00
9/29/16,20:20:23,leenti-dabshots-roomm,1.23,10.00,30.47,81,123.25,3.37,1475165580,18:13:00
9/29/16,20:15:20,gabcube-lazzy,1.26,10.00,30.46,75,158.64,4.5,1475165580,18:13:00
9/29/16,20:10:22,fadeo-voonix,1.17,10.00,30.46,70,165.22,5.62,1475165580,18:13:00
9/29/16,20:05:22,buzzbean-devbug,1.22,10.00,30.46,63,160.51,3.37,1475165580,18:13:00
9/29/16,20:00:18,skynoodle-thoughtmix-oba,1.22,10.00,30.46,51,155.36,4.5,1475165580,18:13:00
9/29/16,19:55:23,feedbug-babbleblab-youfeed,1.22,10.00,30.46,47,157.78,6.75,1475165580,18:13:00
9/29/16,19:50:22,flipbug-yodo,1.24,10.00,30.46,46,151.6,3.37,1475165580,18:13:00
9/29/16,19:45:25,viva-cogidoo-roomm,1.25,10.00,30.46,47,105.78,4.5,1475165580,18:13:00
9/29/16,19:40:22,jaxworks-wordpedia,1.19,10.00,30.46,48,135.55,4.5,1475165580,18:13:00
9/29/16,19:35:22,browsedrive-dabjam,1.19,10.00,30.46,56,140.92,4.5,1475165580,18:13:00
9/29/16,19:30:20,meemm-einti-ntags,1.23,10.00,30.46,57,165,4.5,1475165580,18:13:00
9/29/16,19:25:21,eidel-eayo,1.19,10.56,30.46,55,126.63,3.37,1475165580,18:13:00
9/29/16,19:20:20,snaptags-avamm,1.23,10.56,30.46,54,119.97,4.5,1475165580,18:13:00
9/29/16,19:15:22,dabtype-topicblab-yodoo,1.22,10.56,30.45,53,95.57,2.25,1475165580,18:13:00
9/29/16,19:10:24,buzzshare-tavu-jumpxs,1.24,10.56,30.45,51,100.02,4.5,1475165580,18:13:00
9/29/16,19:05:20,devcast-riffpath,1.24,10.56,30.45,51,111.73,2.25,1475165580,18:13:00
9/29/16,19:00:24,dabshots-topdrive,1.23,10.56,30.45,52,145.77,5.62,1475165580,18:13:00
9/29/16,18:55:19,podcat-vinte-thoughtstorm,1.23,10.56,30.45,51,105.89,6.75,1475165580,18:13:00
9/29/16,18:50:24,tagtune-gabcube,1.24,10.56,30.45,52,120.86,5.62,1475165580,18:13:00
9/29/16,18:45:19,oozz-shufflebeat,1.23,10.56,30.44,55,170.11,5.62,1475165580,18:13:00
9/29/16,18:40:21,wikido-meetz,1.21,11.11,30.44,55,107.15,5.62,1475165580,18:13:00
9/29/16,18:35:21,livetube-agivu-wikizz,1.24,11.11,30.44,55,129.29,6.75,1475165580,18:13:00
9/29/16,18:30:23,dabjam-tagchat-devcast,1.18,11.11,30.45,59,158.73,3.37,1475165580,18:13:00
9/29/16,18:25:19,trilia-oloo-yacero,1.52,11.11,30.44,59,211.38,2.25,1475165580,18:13:00
9/29/16,18:20:23,livetube-shufflebeat-rooxo,5.07,11.67,30.44,61,174.97,4.5,1475165580,18:13:00
9/29/16,18:15:21,livepath-rooxo,6.16,11.67,30.44,62,120.78,7.87,1475165580,18:13:00
9/29/16,18:10:52,tavu-fiveclub,6.63,11.67,30.44,59,118.82,5.62,1475165580,18:13:00
9/29/16,18:05:22,twitterbeat-yamia,10.96,12.22,30.44,59,154.16,4.5,1475165580,18:13:00
9/29/16,18:00:22,bubblebox-divavu,19.42,12.78,30.44,57,58.42,6.75,1475165580,18:13:00
9/29/16,17:55:22,linktype-ainyx-wikizz,27.14,12.78,30.44,53,47.86,4.5,1475165580,18:13:00
9/29/16,17:50:19,meembee-quinu,33.75,13.33,30.44,52,74.56,2.25,1475165580,18:13:00
9/29/16,17:45:22,digitube-viva,49.57,13.33,30.44,49,25.72,6.75,1475165580,18:13:00
9/29/16,17:40:22,buzzbean-feedspan,59.62,13.33,30.44,50,102.11,2.25,1475165580,18:13:00
9/29/16,17:35:38,wordware-buzzbean-miboo,87.23,13.33,30.44,48,67.49,3.37,1475165580,18:13:00
9/29/16,17:30:25,babbleopia-midel-yodo,109.93,13.33,30.43,49,180.29,2.25,1475165580,18:13:00
9/29/16,17:25:25,thoughtstorm-buzzshare-lajo,130.82,13.89,30.43,57,150.2,2.25,1475165580,18:13:00
9/29/16,17:20:25,lajo-dabshots-voolia,160.52,13.89,30.43,55,47.3,5.62,1475165580,18:13:00
9/29/16,17:15:20,pixonyx-meezzy,191.37,14.44,30.43,52,333.81,1.12,1475165580,18:13:00
9/29/16,17:10:20,tavu-fiveclub,207.05,14.44,30.43,49,41.62,4.5,1475165580,18:13:00
9/29/16,17:05:22,devcast-browsecat-gabcube,240.99,14.44,30.43,45,132.36,5.62,1475165580,18:13:00
9/29/16,17:00:24,eabox-edgetag-oloo,274.83,14.44,30.43,41,332.09,4.5,1475165580,18:13:00
9/29/16,16:55:25,tagtune-npath-thoughtworks,300.94,14.44,30.43,55,45.88,3.37,1475165580,18:13:00
9/29/16,16:50:22,twitterworks-eimbee,322.71,14.44,30.43,56,94.24,7.87,1475165580,18:13:00
9/29/16,16:45:38,bluejam-dabz,346.59,14.44,30.43,50,81.57,6.75,1475165580,18:13:00
9/29/16,16:40:20,thoughtstorm-cogibox,364.18,14.44,30.43,49,351.03,7.87,1475165580,18:13:00
9/29/16,16:35:41,yamia-babbleblab,368.35,14.44,30.43,51,78.81,5.62,1475165580,18:13:00
9/29/16,16:30:22,tambee-dabjam-innotype,362.84,14.44,30.43,46,85.96,5.62,1475165580,18:13:00
9/29/16,16:25:21,aimbo-feedspan,423.9,15.00,30.43,48,19.78,4.5,1475165580,18:13:00
9/29/16,16:20:25,camido-topiclounge,457.69,14.44,30.43,59,18.26,4.5,1475165580,18:13:00
9/29/16,16:15:23,wordpedia-twitternation,511.38,14.44,30.43,52,69.08,3.37,1475165580,18:13:00
9/29/16,16:10:22,thoughtstorm-buzzshare-lajo,566.83,14.44,30.43,52,40.87,4.5,1475165580,18:13:00
9/29/16,16:05:20,wikivu-tambee,187.96,14.44,30.43,49,0.13,4.5,1475165580,18:13:00
9/29/16,16:00:20,mynte-skibox-wordtune,310.59,15.00,30.43,58,27.34,9,1475165580,18:13:00
9/29/16,15:55:22,mudo-livefish,230.26,15.00,30.43,46,359.93,3.37,1475165580,18:13:00
9/29/16,15:50:21,vipe-leexo,623.31,15.56,30.43,46,22.18,7.87,1475165580,18:13:00
9/29/16,15:45:22,meejo-youspan-edgewire,312.1,15.56,30.43,48,4.38,10.12,1475165580,18:13:00
9/29/16,15:40:24,wikibox-blogpad-fanoodle,803.72,15.56,30.43,44,355.03,7.87,1475165580,18:13:00
9/29/16,15:35:19,centidel-youopia-thoughtmix,671.97,15.56,30.42,47,0.4,7.87,1475165580,18:13:00
9/29/16,15:30:20,leenti-livepath,670.32,15.56,30.42,51,53.16,4.5,1475165580,18:13:00
9/29/16,15:25:21,omba-browsebug-shuffledrive,679.73,15.56,30.42,48,353.87,9,1475165580,18:13:00
9/29/16,15:20:24,kwimbee-devpoint-agimba,687.62,15.56,30.43,54,2.04,4.5,1475165580,18:13:00
9/29/16,15:15:18,zooveo-vimbo-eimbee,697.66,16.11,30.42,53,34.85,11.25,1475165580,18:13:00
9/29/16,15:10:21,flipstorm-quimm,716.27,16.11,30.42,44,11.08,7.87,1475165580,18:13:00
9/29/16,15:05:23,yombu-livetube,744.43,16.11,30.43,50,1.6,5.62,1475165580,18:13:00
9/29/16,15:02:10,twitterbridge-photolist-twiyo,612.34,16.11,30.42,53,345.21,7.87,1475165580,18:13:00
9/29/16,14:55:21,quire-omba,760.9,16.11,30.42,50,165.42,4.5,1475165580,18:13:00
9/29/16,14:50:21,avavee-quamba-feedspan,773.71,16.11,30.42,57,30.3,6.75,1475165580,18:13:00
9/29/16,14:45:18,flashspan-skippad,790.08,16.11,30.42,59,34.24,3.37,1475165580,18:13:00
9/29/16,14:40:23,dabtype-skimia-youspan,804.28,16.11,30.42,59,19.11,7.87,1475165580,18:13:00
9/29/16,14:35:24,mynte-roodel-flipopia,818.82,16.11,30.42,53,84.61,6.75,1475165580,18:13:00
9/29/16,14:30:19,demivee-chatterbridge,855.63,16.67,30.42,51,31.88,5.62,1475165580,18:13:00
9/29/16,14:25:20,twitternation-browsedrive,875.16,16.67,30.42,58,149.48,3.37,1475165580,18:13:00
9/29/16,14:20:21,thoughtbeat-gigashots,867.9,16.67,30.42,54,62.54,3.37,1475165580,18:13:00
9/29/16,14:15:27,livetube-agivu-wikizz,872.67,16.67,30.43,58,39.59,5.62,1475165580,18:13:00
9/29/16,14:10:20,flashspan-agivu-edgewire,890.52,16.67,30.43,50,122.13,4.5,1475165580,18:13:00
9/29/16,14:00:19,brainverse-mybuzz-babbleset,911.06,16.67,30.43,53,65.07,7.87,1475165580,18:13:00
9/29/16,13:55:20,twimm-quatz-youopia,925.16,16.67,30.43,49,69.79,7.87,1475165580,18:13:00
